	X09_11_N_N_0	X09_13_N_N_0	X09_24_N_N_0	X09_8_N_N_0	X10_11_N_N_0	X10_13_N_N_0	X10_24_N_N_0	X10_8_N_N_0	X11_11_N_N_0	X11_13_N_N_0	X11_24_N_N_0	X11_8_N_N_0	X12_11_N_N_0	X12_13_N_N_0	X12_24_N_N_0	X12_8_N_N_0	X13_11_N_N_0	X13_13_N_N_0	X13_24_N_N_0	X13_8_N_N_0	X14_11_N_N_0	X14_13_N_N_0	X14_24_N_N_0	X14_8_N_N_0
Zotu1573	3	5	0	2	2	1	0	2	1	1	0	0	1	0	0	1	3	4	2	10	7	9	0	6
Zotu3471	1	2	0	1	1	1	0	2	0	0	0	0	1	0	0	0	0	1	2	3	0	4	0	0
Zotu16802	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
Zotu16978	2	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu17736	0	1	2	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
Zotu17592	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Zotu3703	1	1	1	1	1	0	1	2	2	2	4	3	1	0	1	2	0	1	1	4	1	1	0	0
Zotu8567	2	0	3	1	0	0	1	0	1	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0
Zotu11348	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1500	1	6	0	1	0	2	2	2	3	0	0	0	1	1	6	1	2	1	6	6	8	0	13	10
Zotu6817	0	2	1	0	0	0	0	0	1	3	1	2	1	3	2	0	0	0	1	0	0	1	0	0
Zotu16801	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu13168	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0
Zotu5091	1	1	2	0	1	2	0	2	0	1	0	2	2	1	1	0	2	3	4	0	0	0	3	0
Zotu18472	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0
Zotu8170	0	0	0	0	1	3	1	1	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0
Zotu7994	1	0	0	1	2	0	3	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
Zotu9183	1	0	0	1	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Zotu8474	1	1	0	2	0	2	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	3	1
Zotu17283	1	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu7105	0	0	1	4	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	1	0	0
Zotu10706	0	1	0	3	0	1	1	2	0	1	0	0	1	0	0	0	2	1	0	1	0	1	0	0
Zotu9559	1	2	0	0	1	3	1	1	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0
Zotu3239	0	0	0	0	1	1	1	0	7	5	11	3	0	1	0	1	1	0	1	0	0	0	0	0
